"STATE_NAME","DRAWSEQ","STATE_FIPS","SUB_REGION","STATE_ABBR","Obama","Romney","R.D2012","Clinton","Trump","R.D2016","color2016","color2012"
"Hawaii",1,"15","Pacific","HI",71.7038485,28.2961515,"D",67.44133745,32.55866255,"D","#0040ff","#0040ff"
"Washington",2,"53","Pacific","WA",57.62829827,42.37170173,"D",58.7869312,41.2130688,"D","#0040ff","#0040ff"
"Montana",3,"30","Mountain","MT",42.96576814,57.03423186,"R",38.89033568,61.10966432,"R","#ff4000","#ff4000"
"Maine",4,"23","New England","ME",57.85992139,42.14007861,"D",51.59679113,48.40320887,"D","#0040ff","#0040ff"
"North Dakota",5,"38","West North Central","ND",39.88210486,60.11789514,"R",30.1907571,69.8092429,"R","#ff4000","#ff4000"
"South Dakota",6,"46","West North Central","SD",40.78150086,59.21849914,"R",34.02814192,65.97185808,"R","#ff4000","#ff4000"
"Wyoming",7,"56","Mountain","WY",28.83936599,71.16063401,"R",24.29468037,75.70531963,"R","#ff4000","#ff4000"
"Wisconsin",8,"55","East North Central","WI",53.5163824,46.4836176,"D",49.59201096,50.40798904,"R","#ff4000","#0040ff"
"Idaho",9,"16","Mountain","ID",33.57861316,66.42138684,"R",31.68982332,68.31017668,"R","#ff4000","#ff4000"
"Vermont",10,"50","New England","VT",68.24725883,31.75274117,"D",65.18642632,34.81357368,"D","#0040ff","#0040ff"
"Minnesota",11,"27","West North Central","MN",53.94122646,46.05877354,"D",50.82854061,49.17145939,"D","#0040ff","#0040ff"
"Oregon",12,"41","Pacific","OR",56.27116718,43.72883282,"D",56.15583895,43.84416105,"D","#0040ff","#0040ff"
"New Hampshire",13,"33","New England","NH",52.83375198,47.16624802,"D",50.19702844,49.80297156,"D","#0040ff","#0040ff"
"Iowa",14,"19","West North Central","IA",52.95935193,47.04064807,"D",44.93645215,55.06354785,"R","#ff4000","#0040ff"
"Massachusetts",15,"25","New England","MA",61.78856744,38.21143256,"D",64.65127869,35.34872131,"D","#0040ff","#0040ff"
"Nebraska",16,"31","West North Central","NE",38.87060973,61.12939027,"R",36.45232589,63.54767411,"R","#ff4000","#ff4000"
"New York",17,"36","Middle Atlantic","NY",64.30099136,35.69900864,"D",61.77244118,38.22755882,"D","#0040ff","#0040ff"
"Pennsylvania",18,"42","Middle Atlantic","PA",52.731934,47.268066,"D",49.62446419,50.37553581,"R","#ff4000","#0040ff"
"Connecticut",19,"09","New England","CT",58.77300637,41.22699363,"D",57.14154752,42.85845248,"D","#0040ff","#0040ff"
"Rhode Island",20,"44","New England","RI",64.01674598,35.98325402,"D",58.31070409,41.68929591,"D","#0040ff","#0040ff"
"New Jersey",21,"34","Middle Atlantic","NJ",58.98469473,41.01530527,"D",57.28419014,42.71580986,"D","#0040ff","#0040ff"
"Indiana",22,"18","East North Central","IN",44.78886924,55.21113076,"R",39.88269048,60.11730952,"R","#ff4000","#ff4000"
"Nevada",23,"32","Mountain","NV",53.40754216,46.59245784,"D",51.29370942,48.70629058,"D","#0040ff","#0040ff"
"Utah",24,"49","Mountain","UT",25.3738111,74.6261889,"R",37.61634179,62.38365821,"R","#ff4000","#ff4000"
"California",25,"06","Pacific","CA",61.87281116,38.12718884,"D",66.12822054,33.87177946,"D","#0040ff","#0040ff"
