,X,city_date,lat,lon,X1.Similar,X2.Similar,X3.Similar,X4.Similar,X5.Similar
31,31,Asheville 09-12,35.595058,-82.551487,Council Bluffs 09-28,Charlotte 08-18,Bedford 09-29,Waukesha 09-28,Greenville 09-06
32,32,Aston 09-13,39.864819,-75.425732,Roanoke 09-24,New York 09-15,Valley Forge 11-01,Des Moines 09-13,Chester Township 09-22
18,18,Austin 08-23,30.267153,-97.743061,New York 06-22,Council Bluffs 09-28,Waukesha 09-28,Charlotte 08-18,Novi 09-30
30,30,Baltimore 09-12,39.290385,-76.612189,Council Bluffs 09-28,Asheville 09-12,New York 06-22,Waukesha 09-28,Novi 09-30
56,56,Bangor 10-15,44.801182,-68.777814,Newtown 10-21,Green Bay 08-05,Portsmouth 10-15,Henderson 10-05,Naples 10-23
44,44,Bedford 09-29,42.946329,-71.513201,Council Bluffs 09-28,Waukesha 09-28,Novi 09-30,New York 06-22,Charlotte 08-18
34,34,Canton 09-14,40.798947,-81.378447,Des Moines 09-13,Miami 09-16,Detroit 08-08,Jackson 08-24,Dimondale 08-19
16,16,Charlotte 08-18,35.223079,-80.846097,West Bend 08-16,Council Bluffs 09-28,Waukesha 09-28,Cleveland 07-21,Jackson 08-24
63,63,Charlotte 10-26,35.229173,-80.83991,NA,NA,NA,NA,NA
39,39,Chester Township 09-22,39.851762,-75.402423,Roanoke 09-24,Waukesha 09-28,Bedford 09-29,Charlotte 08-18,Canton 09-14
23,23,Cincinnati 09-01,39.099814,-84.369114,Cleveland 07-21,Chester Township 09-22,Naples 10-23,Roanoke 09-24,Virginia Beach 07-11
8,8,Cleveland 07-21,41.49932,-81.694361,Charlotte 08-18,Jackson 08-24,Henderson 10-05,Prescott Valley 10-04,Phoenix 08-31
27,27,Cleveland 09-08,41.484193,-81.611059,Chester Township 09-22,Charlotte 10-26,Des Moines 09-13,Roanoke 09-24,West Bend 08-16
57,57,Colorado Springs 10-18,38.833882,-104.821363,Ocala 10-12,Raleigh 11-07,Miami 11-02,Jackson 08-24,Orlando 11-02
54,54,Columbus 10-13,39.961176,-82.998794,Panama City 10-11,Council Bluffs 09-28,Colorado Springs 10-18,Bedford 09-29,New York 06-22
42,42,Council Bluffs 09-28,41.261944,-95.860833,Waukesha 09-28,Bedford 09-29,Novi 09-30,New York 06-22,Charlotte 08-18
58,58,Delaware 10-20,40.298672,-83.067965,Newtown 10-21,Green Bay 08-05,Bangor 10-15,Henderson 10-05,Colorado Springs 10-18
33,33,Des Moines 09-13,41.600545,-93.609106,Miami 09-16,Canton 09-14,Detroit 08-08,Chester Township 09-22,Council Bluffs 09-28
11,11,Detroit 08-08,42.329597,-83.049365,New York 09-15,Des Moines 09-13,Canton 09-14,Dimondale 08-19,Novi 09-30
24,24,Detroit 09-03,42.331427,-83.045754,Dimondale 08-19,Pensacola 09-09,Cleveland 07-21,Jackson 08-24,Chester Township 09-22
17,17,Dimondale 08-19,42.645591,-84.648871,Jackson 08-24,Novi 09-30,Springfield 10-27,Warren 10-31,Charlotte 08-18
9,9,Doral 07-27,25.819542,-80.35533,Ocala 10-12,Erie 08-12,Wilmington 08-09,Raleigh 11-07,Springfield 10-27
