title,date,location,link,lat,lon
"Donald J. Trump: Remarks at Aston Community Center in Aston, Pennsylvania",13-Sep-16,"Aston, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119193,39.864819,-75.425732
"Donald J. Trump: Remarks at the KI Convention Center in Green Bay, Wisconsin",5-Aug-16,"Green Bay, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=123199,44.519159,-88.019826
Donald J. Trump: Remarks Introducing Governor Mike Pence as the 2016 Republican Vice Presidential Nominee in New York City,16-Jul-16,New York City,http://www.presidency.ucsb.edu/ws/index.php?pid=117791,40.712784,-74.005941
"Donald J. Trump: Remarks at a Rally at the Mid-America Center in Council Bluffs, Iowa",28-Sep-16,"Council Bluffs, Iowa",http://www.presidency.ucsb.edu/ws/index.php?pid=119200,41.261944,-95.860833
"Donald J. Trump: Remarks at the Summit Sports and Ice Complex in Dimondale, Michigan",19-Aug-16,"Dimondale, Michigan",http://www.presidency.ucsb.edu/ws/index.php?pid=123197,42.645591,-84.648871
"Donald J. Trump: Remarks at the Cleveland Arts and Social Sciences Academy in Cleveland, Ohio",8-Sep-16,"Cleveland, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119195,41.484193,-81.611059
Donald J. Trump: Remarks Announcing Candidacy for President in New York City,16-Jun-15,New York City,http://www.presidency.ucsb.edu/ws/index.php?pid=110306,40.712784,-74.005941
"Donald J. Trump: Remarks at the Jeffco Fairgrounds Event Center in Golden, Colorado",29-Oct-16,"Golden, Colorado",http://www.presidency.ucsb.edu/ws/index.php?pid=119181,39.755543,-105.2211
"Donald J. Trump: Remarks at Great Faith International Ministries in Detroit, Michigan",3-Sep-16,"Detroit, Michigan",http://www.presidency.ucsb.edu/ws/index.php?pid=119199,42.331427,-83.045754
Donald J. Trump: Remarks at Trump SoHo in New York City,22-Jun-16,"Soho, New York City",http://www.presidency.ucsb.edu/ws/index.php?pid=117790,40.723301,-74.002988
"Donald J. Trump: Remarks at a Rally at the Greenville Convention Center in Greenville, North Carolina",6-Sep-16,"Greenville, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119197,35.612661,-77.366354
"Donald J. Trump: Address to the National Guard Association of the United States 138th General Conference & Exhibition at the Baltimore Convention Center in Baltimore, Maryland",12-Sep-16,"Baltimore, Maryland",http://www.presidency.ucsb.edu/ws/index.php?pid=119205,39.290385,-76.612189
"Donald J. Trump: Remarks at the Suburban Collection Showplace in Novi, Michigan",30-Sep-16,"Novi, Michigan",http://www.presidency.ucsb.edu/ws/index.php?pid=119179,42.48059,-83.475491
